GEOID,NAME,LSAD
"14020","Bloomington, IN",M1
"37220","Pahrump, NV",M2
"31680","Malvern, AR",M2
"21140","Elkhart-Goshen, IN",M1
"39740","Reading, PA",M1
"32140","Marshall, MN",M2
"22020","Fargo, ND-MN",M1
"41940","San Jose-Sunnyvale-Santa Clara, CA",M1
"24420","Grants Pass, OR",M1
"26380","Houma-Thibodaux, LA",M1
"40100","Rio Grande City-Roma, TX",M2
"36220","Odessa, TX",M1
"24060","Glenwood Springs, CO",M2
"18060","Columbus, MS",M2
"27620","Jefferson City, MO",M1
"23580","Gainesville, GA",M1
"49260","Woodward, OK",M2
"22140","Farmington, NM",M1
"34180","Moses Lake, WA",M2
"45220","Tallahassee, FL",M1
"25540","Hartford-East Hartford-Middletown, CT",M1
"30860","Logan, UT-ID",M1
"37100","Oxnard-Thousand Oaks-Ventura, CA",M1
"18260","Cookeville, TN",M2
"36620","Ontario, OR-ID",M2
"46100","Tullahoma-Manchester, TN",M2
"25940","Hilton Head Island-Bluffton, SC",M1
"26660","Huntsville, TX",M2
"32780","Medford, OR",M1
"20820","Effingham, IL",M2
"33140","Michigan City-La Porte, IN",M1
"48260","Weirton-Steubenville, WV-OH",M1
"35660","Niles, MI",M1
